objectid,title,format,object_template,object_download,image_small,image_thumb,catalog number,site,unit/quad,area,ctx,sub ctx,mat class 1,mat type 1,mat class 2,mat type 2,object name,object description,manufacture 1,manufacture 2,item count,portion represented,associated with cat no.,surface feature,plastics_plastic color 1,plastics_plastic color 2,ceramic_paste color,ceramic_glaze,ceramic_decoration 1,ceramic_decor 1 description,ceramic_decor 1 color,ceramic_decoration 2,ceramic_decor 2 description,ceramic_decor 2 color,ceramic_decoration 3,ceramic_decor 3 description,ceramic_decor 3 color,glass_glass color,glass_container shape,glass_finish description 1,glass_finish description 2,glass_base description 1,glass_base description 2,glass_shoulder description,glass_neck description,glass_decoration 1 glass,glass_decoration 2 glass,maker mark,maker,maker location,product,product manufacturer,product manufacturer location,thickness/gauge (cm),length/height (cm),metal_nail d size,width (cm),rim diameter (cm),base diameter (cm),date start,date end,comments,most representative photo,faunal_animal class,faunal_species,faunal_body part,faunal_element category,faunal_element,faunal_tooth listing,faunal_side,faunal_bone modification,faunal_butchering marks,faunal_quantity
MHS_679,[MHS_679] HOLLOWARE - BODY (1),image/jpg,image,,,,679,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,PORCELAIN HARD PASTE,,,HOLLOWARE,HOLLOWARE,,,1,BODY,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSURE OF PASTE TYPE AS IT WONT SEEM TO SCRATCH AND PASTE SEEMS TO HAVE VITRIFIED AND FUSED TO PAST HOWEVER CRAZING IS PRESENT,,,,,,,,,,,
MHS_680,[MHS_680] TABLEWARE - RIM (1),image/jpg,image,,,,680,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,WHITEWARE,,,TABLEWARE,TABLEWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_681,[MHS_681] TABLEWARE - RIM (1),image/jpg,image,,,,681,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,PORCELAIN,,,TABLEWARE,TABLEWARE,,,1,RIM,,,,,WHITE,LEAD,DECALOMANIA,FLORAL DECAL OVERGLAZE GREEN BLUE PURPLE,GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
MHS_682,[MHS_682] SEWER PIPE - BODY (1),image/jpg,image,,,,682,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,EARTHENWARE COARSE,,,PIPE ARCHITECTURAL,SEWER PIPE,,,1,BODY,,,,,ORANGE/TERRACOTTA,SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_683,[MHS_683] SEWER PIPE - BODY (1),image/jpg,image,,,,683,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,EARTHENWARE COARSE,,,PIPE ARCHITECTURAL,SEWER PIPE,,,1,BODY,,,,,ORANGE/TERRACOTTA,UNGLAZED,HANDPAINTED OVERGLAZE,HAND PAINTED ON TO PASTE,RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_684,[MHS_684] SEWER PIPE - BODY (1),image/jpg,image,,,,684,MHS,QUAD 13,DOWNHILL,SUR,,CERAMIC,EARTHENWARE COARSE,,,PIPE ARCHITECTURAL,SEWER PIPE,,,1,BODY,,HUMAN ALTERATION,,,RED,,SLIP,PAINTED SLIP INSTEAD OF GLAZE,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCRETE FUSED ONTO SHERD,,,,,,,,,,,
MHS_685,[MHS_685] TOY - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,685,MHS,QUAD 1 ,DOWNHILL,SUR,,SYNTHETIC,PLASTIC MISC,,,TOY,TOY,,,1,WHOLE/ENTIRE/COMPLETE,,,BLUE,YELLOW,,,,,,,,,,,,,,,,,,,,,,,DISNEY,,PALACE PETS WHISKER HAVEN NYLE MONKEY TOY,,,,,,,,,,,BLUE MONKEY TOY NAMED NYLE PART OF THE DISNEY WHISKER HAVEN PALACE PETS COLLECTION COMPLETE BUT MISSING ORANGE TAIL POSSIBLY MANUFACTURED BWTEEN 2015 AND 2017,,,,,,,,,,,
MHS_686,[MHS_686] WRAPPER - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,686,MHS,QUAD 1,DOWNHILL,SUR,,SYNTHETIC,PLASTIC MISC,METAL,ALUMINUM,WRAPPER,WRAPPER,,,1,WHOLE/ENTIRE/COMPLETE,,,BLACK,WHITE,,,,,,,,,,,,,,,,,,,,,,PANDA EXPRESS / KIKKOMAN,KIKKOMAN,CALIFORNIA,KIKKOMAN TRADITIONALLY BREWED SOY SAUCE FOR PANDA RESTAURANT GROUP,KIKKOMAN,,,,,,,,,,PANDA EXPRESS CHINESE KITCHEN KIKKOMAN TRADITIONALLY BREWED SOY SAUCE PACKET BEST BY JANUARY 13 2018,,,,,,,,,,,
MHS_687,[MHS_687] BAND - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,687,MHS,AREA 10,,,,METAL,BRASS,SYNTHETIC,RUBBER HARD,UNIDENTIFIED,BAND,MACHINE MADE,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.7,,1.6,,,,,,,,,,,,,,,,
MHS_688,[MHS_688]  - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,688,MHS,AREA 10,,,,METAL,IRON,,,SHEET METAL,,MACHINE MADE,,2,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
MHS_689,[MHS_689]  - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,689,MHS,AREA 10,,,,METAL,ALUMINUM,,,SHEET METAL,,MACHINE MADE,,1,WHOLE/ENTIRE/COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLACK RESIDUE COULD BE ASPHALT,,,,,,,,,,,
MHS_690,[MHS_690]  - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,690,MHS,AREA UNKNOWN,,,,METAL,ALUMINUM,SYNTHETIC,PAINT/INK MISC,SHEET METAL,,MACHINE MADE,,1,WHOLE/ENTIRE/COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COVERED IN WHITE PAINT RESIDUE IS CAULKING,,,,,,,,,,,
MHS_691,[MHS_691] BUCKLE BELT - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,691,MHS,AREA UNKNOWN,,,,METAL,IRON,,,BUCKLE,BUCKLE BELT,CAST,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,5.25,,,,,,,,,,,,,,,,
MHS_692,[MHS_692]  - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,692,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,IRON,,,SCREW EYE,,MACHINE MADE,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,,,,,,,EYE HAS A DIAMETER OF 2 CM,,,,,,,,,,,
MHS_693,[MHS_693] CAST METAL MISC - UNKNOWN (1),image/jpg,image,,,,693,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,IRON,,,METAL UNIDENTIFIED,CAST METAL MISC,CAST,,1,UNKNOWN,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.25,,1,,,,,OBJECT HAS SLIGHT CURVE ONE LONG SIDE IS FLAT AND THE OTHER IS SLIGHTLY ROUNDED,,,,,,,,,,,
MHS_694,[MHS_694] NAIL WIRE - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,694,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,IRON,,,NAIL,NAIL WIRE,WIRE DRAWN,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.25,6D,,,,,,,,,,,,,,,,,
MHS_695,[MHS_695] NAIL WIRE - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,695,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,IRON,,,NAIL,NAIL WIRE,WIRE DRAWN,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,10,20D,,,,,,,,,,,,,,,,,
MHS_696,[MHS_696]  - UNKNOWN (1),image/jpg,image,,,,696,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,STEEL,,,SHEET METAL,,MACHINE MADE,,1,UNKNOWN,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2.25,,1,,,,,,,,,,,,,,,,
MHS_697,[MHS_697] PULL TAB - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,697,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,ALUMINUM,,,SHEET METAL,PULL TAB,MACHINE MADE,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,,1.5,,,,,,,,,,,,,,,,
MHS_698,[MHS_698]  - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,698,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,STEEL,,,WIRE,,WIRE DRAWN,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,21,,,,,,,COULD BE WIRE USED ON CHAINLINK FENCES,,,,,,,,,,,
MHS_699,[MHS_699]  - BASE (1),image/jpg,image,,,,699,MHS,QUAD 10,DOWNHILL,SURFACE,,METAL,BRASS,CERAMIC,,LIGHT BULB,,MACHINE MADE,,1,BASE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
MHS_700,[MHS_700] BUCKLE MISC - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,700,MHS,22,DOWNHILL,15,,METAL,IRON,,,BUCKLE,BUCKLE MISC,CAST,,2,WHOLE/ENTIRE/COMPLETE,NO,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,3,,,,,,,,,,,,,,,,
MHS_701,[MHS_701] NAIL CUT - SHAFT (3),image/jpg,image,,,,701,MHS,22,DOWNHILL,15,,METAL,IRON,,,NAIL,NAIL CUT,MACHINE CUT,,3,SHAFT,702,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,
MHS_702,[MHS_702] NAIL CUT - HEAD (1),image/jpg,image,,,,702,MHS,22,DOWNHILL,15,,METAL,IRON,,,NAIL,NAIL CUT,MACHINE CUT,,1,HEAD,701,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
